row_id,gmaps_dist,gmaps_duration
500,4019.0,701.0
501,3623.0,975.0
502,4906.0,813.0
503,3639.0,879.0
504,1483.0,430.0
505,2831.0,664.0
506,2277.0,744.0
507,24896.0,1654.0
508,1666.0,587.0
509,16116.0,1580.0
510,1912.0,479.0
511,5546.0,952.0
512,1345.0,357.0
513,1967.0,628.0
514,4527.0,1022.0
515,2815.0,700.0
516,33029.0,2446.0
517,21959.0,1317.0
518,1782.0,478.0
519,4142.0,855.0
520,6047.0,1214.0
521,3882.0,973.0
522,2034.0,543.0
523,3429.0,938.0
524,2543.0,706.0
525,2225.0,598.0
526,1725.0,394.0
